label,seed,axis,value,status,start_time,end_time,exit_code,run_id,raw_csv,summary_csv,log_path
shield_only,2,target_speed_kmh,18,done,2026-07-01T18:45:46+08:00,2026-07-01T18:57:04+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s2.log
shield_only,2,target_speed_kmh,15,done,2026-07-01T18:45:31+08:00,2026-07-01T18:58:10+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s2.log
gated_risk,0,ttc_threshold,10,done,2026-07-01T18:47:41+08:00,2026-07-01T18:58:45+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_gated_risk_s0.log
gated_risk,0,ttc_threshold,12,done,2026-07-01T18:47:51+08:00,2026-07-01T18:59:18+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_gated_risk_s0.log
gated_risk,0,target_speed_kmh,15,done,2026-07-01T18:47:51+08:00,2026-07-01T18:59:57+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_gated_risk_s0.log
gated_risk,0,target_speed_kmh,18,done,2026-07-01T18:48:41+08:00,2026-07-01T19:00:17+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_gated_risk_s0.log
gated_risk,1,ttc_threshold,6,done,2026-07-01T18:53:52+08:00,2026-07-01T19:02:50+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s1.log
gated_risk,0,target_speed_kmh,22,done,2026-07-01T18:53:52+08:00,2026-07-01T19:04:31+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_gated_risk_s0.log
gated_risk,1,ttc_threshold,8,done,2026-07-01T18:54:42+08:00,2026-07-01T19:04:37+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s1.log
gated_risk,2,ttc_threshold,6,done,2026-07-01T18:56:22+08:00,2026-07-01T19:04:55+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s2.log
