variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
proposed	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.00:c1.00:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/tuned_v2_evaluations/proposed_ppo_s0.csv
proposed	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.00:c1.00:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/tuned_v3_evaluations/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.10,0.25			300000	1000	d0.00:n30:s0.53:c0.00:r0.92 | d0.10:n30:s0.40:c0.40:r0.78 | d0.25:n30:s0.00:c1.00:r0.30	outputs/tuning/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	3	0.00,0.10,0.25			300000	1000	d0.00:n1:s0.57:c0.00:r0.92 | d0.10:n1:s0.47:c0.33:r0.78 | d0.25:n1:s0.00:c1.00:r0.31	outputs/tuning/evaluations/summary.csv
proposed	ppo	1	40	0.08,0.15					d0.08:n20:s0.75:c0.05:r0.94 | d0.15:n20:s0.55:c0.15:r0.80	outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v16.csv
proposed	ppo	1	40	0.08,0.15					d0.08:n20:s0.70:c0.15:r0.91 | d0.15:n20:s0.60:c0.25:r0.84	outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v18.csv
proposed	ppo	1	40	0.08,0.15					d0.08:n20:s0.80:c0.05:r0.96 | d0.15:n20:s0.60:c0.10:r0.87	outputs/defensive_shield_screen/evaluations/s1_defensive_ttc12_v18.csv
proposed	ppo	1	40	0.08,0.15					d0.08:n20:s0.80:c0.05:r0.95 | d0.15:n20:s0.65:c0.30:r0.83	outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v18.csv
proposed	ppo	1	40	0.08,0.15					d0.08:n20:s0.80:c0.20:r0.87 | d0.15:n20:s0.55:c0.35:r0.81	outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v20.csv
proposed	ppo	1	150	0.00,0.08,0.15					d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.10:r0.93 | d0.15:n50:s0.56:c0.38:r0.80	outputs/final_paper_results/evaluations/proposed_ppo_s1.csv
proposed	ppo	1	60	0.00,0.08,0.15					d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s1.00:c0.00:r0.99 | d0.15:n20:s0.40:c0.60:r0.76	outputs/horizon1500_screen/evaluations/s1_100w.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.88:c0.00:r0.99 | d0.08:n50:s0.58:c0.18:r0.90 | d0.15:n50:s0.42:c0.46:r0.82	outputs/iscsic_main_nenv10_1p5m_ent001/checkpoint_evaluations/s1_1125k/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.84:c0.00:r0.98 | d0.08:n50:s0.78:c0.12:r0.93 | d0.15:n50:s0.38:c0.48:r0.79	outputs/iscsic_main_nenv10_1p5m_ent001/checkpoint_evaluations/s1_750k/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.88:c0.00:r0.98 | d0.08:n50:s0.76:c0.10:r0.92 | d0.15:n50:s0.32:c0.62:r0.70	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15		4	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.76:c0.08:r0.94 | d0.15:n50:s0.42:c0.54:r0.74	outputs/stage1000_stable_proposed_multiseed/evaluations/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15		4	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.10:r0.93 | d0.15:n50:s0.56:c0.38:r0.80	outputs/stage1000_true_proposed_multiseed/evaluations/proposed_ppo_s1.csv
proposed	ppo	1	6	0.00,0.08,0.15		4	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.75:c0.09:r0.93 | d0.15:n2:s0.54:c0.39:r0.79	outputs/stage1000_true_proposed_multiseed/evaluations/summary.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.86:c0.00:r0.98 | d0.08:n50:s0.74:c0.12:r0.93 | d0.15:n50:s0.34:c0.62:r0.71	outputs/tuning_lr1e4_prehard_nenv10_1p5m/checkpoint_evaluations/s1_750k/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.74:c0.00:r0.97 | d0.08:n50:s0.74:c0.10:r0.94 | d0.15:n50:s0.38:c0.52:r0.77	outputs/tuning_lr2e4_prehard_nenv10_1p5m/checkpoint_evaluations/s1_1125k/proposed_ppo_s1.csv
proposed	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.76:c0.00:r0.98 | d0.08:n50:s0.78:c0.04:r0.97 | d0.15:n50:s0.38:c0.52:r0.73	outputs/tuning_stage2strict035_prehard_nenv10_1p5m/checkpoint_evaluations/s1_1125k/proposed_ppo_s1.csv
proposed	ppo	10	150	0.00,0.08,0.15		32	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.78:c0.06:r0.95 | d0.15:n50:s0.50:c0.46:r0.77	outputs/stage1000_true_proposed_s10s11_independent_nenv32/evaluations/proposed_ppo_s10.csv
proposed	ppo	10	6	0.00,0.08,0.15		32	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.77:c0.07:r0.93 | d0.15:n2:s0.51:c0.40:r0.79	outputs/stage1000_true_proposed_s10s11_independent_nenv32/evaluations/summary.csv
proposed	ppo	11	150	0.00,0.08,0.15		32	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.76:c0.08:r0.92 | d0.15:n50:s0.52:c0.34:r0.81	outputs/stage1000_true_proposed_s10s11_independent_nenv32/evaluations/proposed_ppo_s11.csv
proposed	ppo	12	150	0.00,0.08,0.15		24	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.72:c0.12:r0.91 | d0.15:n50:s0.38:c0.56:r0.74	outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/evaluations/proposed_ppo_s12.csv
proposed	ppo	12	6	0.00,0.08,0.15		24	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.72:c0.12:r0.91 | d0.15:n2:s0.42:c0.50:r0.76	outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/evaluations/summary.csv
proposed	ppo	13	150	0.00,0.08,0.15		24	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.72:c0.12:r0.91 | d0.15:n50:s0.46:c0.44:r0.78	outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/evaluations/proposed_ppo_s13.csv
proposed	ppo	2	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.76:c0.00:r0.97 | d0.08:n50:s0.70:c0.14:r0.93 | d0.15:n50:s0.54:c0.40:r0.75	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/proposed_ppo_s2.csv
proposed	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.90:c0.00:r0.98 | d0.08:n50:s0.90:c0.02:r0.97 | d0.15:n50:s0.32:c0.52:r0.76	outputs/reward_screen_completion_boost_nenv10_500k/evaluations/proposed_ppo_s2.csv
