#{"t_start": 1782899345.2538424, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
9.114814,600,77.233828,0.0,0.0,26.167526795777736,9.114813560326763,0.0,0.0,0.0,0.0,0.3443683387479299,600,2.3305726407427008,0.31397724024605433,0.6703299571138637,0.8049230279276768,0.597385623405377,0.5121105283498764,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,171.0,0.0
8.396315,600,79.809303,0.0,0.0,22.491473897510147,8.396314504415015,0.0,0.0,0.0,0.0,0.40835258518866474,600,2.2284824943467525,0.3549476430446803,0.9949607178689316,0.8048318078244726,0.599649009257555,0.4976491650938988,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,172.0,0.0
4.170104,600,83.596723,0.0,0.0,17.957244866851433,4.170104317345734,0.0,0.0,0.0,0.0,0.34138272946400017,600,2.2540837639730946,0.7224635483547095,1.8430785211708272,0.7930283526082834,0.6506556811928749,0.508783212552468,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,189.75,0.0
15.937441,600,86.100214,0.0,0.0,35.87280136803681,15.937440997012892,0.0,0.0,0.0,0.0,0.3750346770998158,600,2.6149776501389566,0.1619109395318556,0.42912309763348433,0.7935356655716896,0.6298181474705538,0.5114207238952319,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,180.5,0.0
27.378313,600,89.866531,0.0,0.0,34.84998813555163,27.378313172019702,0.0,0.0,0.0,0.0,0.6217773034747965,600,3.535452223641806,0.3792286366311636,0.9988862844298784,0.7954620293962459,0.5356844172378381,0.46361047913630804,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,167.25,0.0
19.211324,600,93.630835,0.0,0.0,29.79832803581966,19.21132367274846,0.0,0.0,0.0,0.0,0.4637386551612874,600,3.147790140193293,0.43888805534277897,0.8937951083682786,0.8516791120544076,0.5147081826627254,0.4541270266969999,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,192.75,0.0
34.465235,600,96.133833,0.0,0.0,42.66982552466634,34.46523528177421,0.0,0.0,0.0,0.0,0.6660107506480346,600,3.823363450850324,0.2739388944696882,0.9928506295120915,0.819886916441222,0.5367814414203167,0.4364878434936206,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,192.75,0.0
25.779178,600,99.855371,0.0,0.0,35.087228583333825,25.77917801435446,0.0,0.0,0.0,0.0,0.5428521240895847,600,4.324007113504549,0.43712002173221504,1.3471745204728138,0.7301276164874434,0.5250816764434179,0.4370163498322169,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,174.75,0.0
47.807744,800,105.148333,0.0,0.0,60.28792424373193,47.807743545582824,0.0,0.0,0.0,0.0,0.8404593807905654,800,4.628443464434286,0.45867934393098025,1.3037841140930129,0.8035914603155107,0.47160950537770985,0.38646880358457564,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,154.75,1.0
29.554339,800,110.050488,0.0,0.0,37.975831606263824,29.554338520308935,0.0,0.0,0.0,0.0,0.4538807572392336,800,5.661373099449573,0.9314135224557277,2.0,0.776119905281812,0.4412354614585638,0.37205326072871686,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,141.75,1.0
