variant,reference,seed,density,variant_success,reference_success,delta_success,variant_cost,reference_cost,delta_cost,variant_route_completion,reference_route_completion,delta_route_completion,variant_collision,reference_collision,delta_collision,variant_out_of_road,reference_out_of_road,delta_out_of_road
wo_ttc,guard_only,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9917108320182259,0.991653825384311,5.7006633914835625e-05,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,guard_only,0,0.08,0.92,0.86,0.06000000000000005,0.04,0.08,-0.04,0.9752199577270193,0.9541970551700336,0.02102290255698569,0.04,0.08,-0.04,0.0,0.0,0.0
wo_ttc,guard_only,0,0.15,0.44,0.62,-0.18,0.54,0.22,0.32000000000000006,0.7433404849954889,0.8613726099344109,-0.11803212493892201,0.54,0.2,0.34,0.0,0.02,-0.02
wo_ttc,guard_only,1,0.0,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.9916887523985382,0.9888278291461677,0.0028609232523704176,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,guard_only,1,0.08,0.82,0.88,-0.06000000000000005,0.12,0.1,0.01999999999999999,0.9167427524136593,0.934103289046758,-0.017360536633098667,0.12,0.1,0.01999999999999999,0.0,0.0,0.0
wo_ttc,guard_only,1,0.15,0.66,0.66,0.0,0.2,0.16,0.04000000000000001,0.9045136090859529,0.8952649213047367,0.009248687781216236,0.2,0.16,0.04000000000000001,0.0,0.0,0.0
wo_ttc,guard_only,2,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.9897158031364361,0.9901404636622437,-0.0004246605258075853,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,guard_only,2,0.08,0.96,0.88,0.07999999999999996,0.04,0.1,-0.060000000000000005,0.9586935391970027,0.933181192140938,0.025512347056064755,0.04,0.1,-0.060000000000000005,0.0,0.0,0.0
wo_ttc,guard_only,2,0.15,0.52,0.62,-0.09999999999999998,0.34,0.24,0.10000000000000003,0.8208574308053475,0.8468089572664755,-0.025951526461128083,0.34,0.24,0.10000000000000003,0.0,0.0,0.0
wo_ttc,shield_only,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9917108320182259,0.991698503827454,1.2328190771904168e-05,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,shield_only,0,0.08,0.92,0.96,-0.039999999999999925,0.04,0.04,0.0,0.9752199577270193,0.974898512908048,0.00032144481897133925,0.04,0.02,0.02,0.0,0.02,-0.02
wo_ttc,shield_only,0,0.15,0.44,0.56,-0.12000000000000005,0.54,0.32,0.22000000000000003,0.7433404849954889,0.8329387441428554,-0.08959825914736652,0.54,0.32,0.22000000000000003,0.0,0.0,0.0
wo_ttc,shield_only,1,0.0,1.0,0.98,0.020000000000000018,0.0,0.0,0.0,0.9916887523985382,0.9909441175631433,0.0007446348353948862,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,shield_only,1,0.08,0.82,0.92,-0.10000000000000009,0.12,0.08,0.039999999999999994,0.9167427524136593,0.944374123457865,-0.027631371044205655,0.12,0.06,0.06,0.0,0.02,-0.02
wo_ttc,shield_only,1,0.15,0.66,0.56,0.09999999999999998,0.2,0.22,-0.01999999999999999,0.9045136090859529,0.8670118010335814,0.037501808052371466,0.2,0.22,-0.01999999999999999,0.0,0.0,0.0
wo_ttc,shield_only,2,0.0,0.96,1.0,-0.040000000000000036,0.0,0.0,0.0,0.9897158031364361,0.9922415703041966,-0.0025257671677604288,0.0,0.0,0.0,0.0,0.0,0.0
wo_ttc,shield_only,2,0.08,0.96,0.86,0.09999999999999998,0.04,0.08,-0.04,0.9586935391970027,0.9584637369230197,0.00022980227398305964,0.04,0.06,-0.019999999999999997,0.0,0.02,-0.02
wo_ttc,shield_only,2,0.15,0.52,0.76,-0.24,0.34,0.14,0.2,0.8208574308053475,0.9132135143279725,-0.09235608352262503,0.34,0.14,0.2,0.0,0.0,0.0
wo_lane,guard_only,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9918204768585587,0.991653825384311,0.0001666514742476588,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,guard_only,0,0.08,0.9,0.86,0.040000000000000036,0.06,0.08,-0.020000000000000004,0.9570477550803586,0.9541970551700336,0.0028506999103249386,0.06,0.08,-0.020000000000000004,0.0,0.0,0.0
wo_lane,guard_only,0,0.15,0.6,0.62,-0.020000000000000018,0.28,0.22,0.060000000000000026,0.8619445937397815,0.8613726099344109,0.0005719838053706017,0.28,0.2,0.08000000000000002,0.0,0.02,-0.02
wo_lane,guard_only,1,0.0,0.88,0.96,-0.07999999999999996,0.0,0.0,0.0,0.9870220637848406,0.9888278291461677,-0.0018057653613271496,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,guard_only,1,0.08,0.9,0.88,0.020000000000000018,0.1,0.1,0.0,0.9710293630864225,0.934103289046758,0.036926074039664525,0.1,0.1,0.0,0.0,0.0,0.0
wo_lane,guard_only,1,0.15,0.62,0.66,-0.040000000000000036,0.28,0.16,0.12000000000000002,0.8556439528123946,0.8952649213047367,-0.03962096849234209,0.28,0.16,0.12000000000000002,0.0,0.0,0.0
wo_lane,guard_only,2,0.0,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.9920688186412179,0.9901404636622437,0.001928354978974145,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,guard_only,2,0.08,0.94,0.88,0.05999999999999994,0.02,0.1,-0.08,0.9798115061699417,0.933181192140938,0.04663031402900375,0.02,0.1,-0.08,0.0,0.0,0.0
wo_lane,guard_only,2,0.15,0.6,0.62,-0.020000000000000018,0.28,0.24,0.040000000000000036,0.8140491358228278,0.8468089572664755,-0.03275982144364775,0.28,0.24,0.040000000000000036,0.0,0.0,0.0
wo_lane,shield_only,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9918204768585587,0.991698503827454,0.00012197303110472735,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,shield_only,0,0.08,0.9,0.96,-0.05999999999999994,0.06,0.04,0.019999999999999997,0.9570477550803586,0.974898512908048,-0.017850757827689412,0.06,0.02,0.039999999999999994,0.0,0.02,-0.02
wo_lane,shield_only,0,0.15,0.6,0.56,0.039999999999999925,0.28,0.32,-0.03999999999999998,0.8619445937397815,0.8329387441428554,0.029005849596926092,0.28,0.32,-0.03999999999999998,0.0,0.0,0.0
wo_lane,shield_only,1,0.0,0.88,0.98,-0.09999999999999998,0.0,0.0,0.0,0.9870220637848406,0.9909441175631433,-0.003922053778302681,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,shield_only,1,0.08,0.9,0.92,-0.020000000000000018,0.1,0.08,0.020000000000000004,0.9710293630864225,0.944374123457865,0.026655239628557537,0.1,0.06,0.04000000000000001,0.0,0.02,-0.02
wo_lane,shield_only,1,0.15,0.62,0.56,0.05999999999999994,0.28,0.22,0.060000000000000026,0.8556439528123946,0.8670118010335814,-0.01136784822118686,0.28,0.22,0.060000000000000026,0.0,0.0,0.0
wo_lane,shield_only,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9920688186412179,0.9922415703041966,-0.00017275166297869848,0.0,0.0,0.0,0.0,0.0,0.0
wo_lane,shield_only,2,0.08,0.94,0.86,0.07999999999999996,0.02,0.08,-0.06,0.9798115061699417,0.9584637369230197,0.021347769246922055,0.02,0.06,-0.039999999999999994,0.0,0.02,-0.02
wo_lane,shield_only,2,0.15,0.6,0.76,-0.16000000000000003,0.28,0.14,0.14,0.8140491358228278,0.9132135143279725,-0.0991643785051447,0.28,0.14,0.14,0.0,0.0,0.0
wo_smooth,guard_only,0,0.0,0.98,1.0,-0.020000000000000018,0.0,0.0,0.0,0.9893880184764705,0.991653825384311,-0.0022658069078405063,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,guard_only,0,0.08,0.84,0.86,-0.020000000000000018,0.14,0.08,0.06000000000000001,0.940013790143729,0.9541970551700336,-0.014183265026304626,0.14,0.08,0.06000000000000001,0.0,0.0,0.0
wo_smooth,guard_only,0,0.15,0.58,0.62,-0.040000000000000036,0.24,0.22,0.01999999999999999,0.8490854337310175,0.8613726099344109,-0.012287176203393368,0.24,0.2,0.03999999999999998,0.0,0.02,-0.02
wo_smooth,guard_only,1,0.0,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.9912452334594098,0.9888278291461677,0.002417404313242111,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,guard_only,1,0.08,0.8,0.88,-0.07999999999999996,0.18,0.1,0.07999999999999999,0.8785495690438269,0.934103289046758,-0.05555372000293113,0.16,0.1,0.06,0.02,0.0,0.02
wo_smooth,guard_only,1,0.15,0.48,0.66,-0.18000000000000005,0.42,0.16,0.26,0.7361095619892454,0.8952649213047367,-0.1591553593154913,0.4,0.16,0.24000000000000002,0.02,0.0,0.02
wo_smooth,guard_only,2,0.0,0.94,0.96,-0.020000000000000018,0.0,0.0,0.0,0.9874165145904662,0.9901404636622437,-0.0027239490717775316,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,guard_only,2,0.08,0.82,0.88,-0.06000000000000005,0.12,0.1,0.01999999999999999,0.9366144498525603,0.933181192140938,0.003433257711622284,0.12,0.1,0.01999999999999999,0.0,0.0,0.0
wo_smooth,guard_only,2,0.15,0.64,0.62,0.020000000000000018,0.2,0.24,-0.03999999999999998,0.8778954374011942,0.8468089572664755,0.031086480134718708,0.2,0.24,-0.03999999999999998,0.0,0.0,0.0
wo_smooth,shield_only,0,0.0,0.98,1.0,-0.020000000000000018,0.0,0.0,0.0,0.9893880184764705,0.991698503827454,-0.0023104853509834378,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,shield_only,0,0.08,0.84,0.96,-0.12,0.14,0.04,0.1,0.940013790143729,0.974898512908048,-0.034884722764318976,0.14,0.02,0.12000000000000001,0.0,0.02,-0.02
wo_smooth,shield_only,0,0.15,0.58,0.56,0.019999999999999907,0.24,0.32,-0.08000000000000002,0.8490854337310175,0.8329387441428554,0.016146689588162122,0.24,0.32,-0.08000000000000002,0.0,0.0,0.0
wo_smooth,shield_only,1,0.0,1.0,0.98,0.020000000000000018,0.0,0.0,0.0,0.9912452334594098,0.9909441175631433,0.0003011158962665794,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,shield_only,1,0.08,0.8,0.92,-0.12,0.18,0.08,0.09999999999999999,0.8785495690438269,0.944374123457865,-0.06582455441403812,0.16,0.06,0.1,0.02,0.02,0.0
wo_smooth,shield_only,1,0.15,0.48,0.56,-0.08000000000000007,0.42,0.22,0.19999999999999998,0.7361095619892454,0.8670118010335814,-0.13090223904433607,0.4,0.22,0.18000000000000002,0.02,0.0,0.02
wo_smooth,shield_only,2,0.0,0.94,1.0,-0.06000000000000005,0.0,0.0,0.0,0.9874165145904662,0.9922415703041966,-0.004825055713730375,0.0,0.0,0.0,0.0,0.0,0.0
wo_smooth,shield_only,2,0.08,0.82,0.86,-0.040000000000000036,0.12,0.08,0.039999999999999994,0.9366144498525603,0.9584637369230197,-0.02184928707045941,0.12,0.06,0.06,0.0,0.02,-0.02
wo_smooth,shield_only,2,0.15,0.64,0.76,-0.12,0.2,0.14,0.06,0.8778954374011942,0.9132135143279725,-0.03531807692677824,0.2,0.14,0.06,0.0,0.0,0.0
no_action_guard,guard_only,0,0.0,0.08,1.0,-0.92,0.92,0.0,0.92,0.2947229047522634,0.991653825384311,-0.6969309206320475,0.0,0.0,0.0,0.92,0.0,0.92
no_action_guard,guard_only,0,0.08,0.0,0.86,-0.86,1.0,0.08,0.92,0.17724359203678927,0.9541970551700336,-0.7769534631332443,0.32,0.08,0.24,0.68,0.0,0.68
no_action_guard,guard_only,0,0.15,0.0,0.62,-0.62,1.0,0.22,0.78,0.17095727152637052,0.8613726099344109,-0.6904153384080404,0.46,0.2,0.26,0.54,0.02,0.52
no_action_guard,guard_only,1,0.0,0.0,0.96,-0.96,1.0,0.0,1.0,0.2394110277293434,0.9888278291461677,-0.7494168014168243,0.0,0.0,0.0,1.0,0.0,1.0
no_action_guard,guard_only,1,0.08,0.0,0.88,-0.88,1.0,0.1,0.9,0.22227943809607612,0.934103289046758,-0.7118238509506819,0.26,0.1,0.16,0.74,0.0,0.74
no_action_guard,guard_only,1,0.15,0.0,0.66,-0.66,1.0,0.16,0.84,0.18538258261432336,0.8952649213047367,-0.7098823386904133,0.58,0.16,0.41999999999999993,0.42,0.0,0.42
no_action_guard,guard_only,2,0.0,0.0,0.96,-0.96,1.0,0.0,1.0,0.22735459421933155,0.9901404636622437,-0.7627858694429122,0.0,0.0,0.0,1.0,0.0,1.0
no_action_guard,guard_only,2,0.08,0.0,0.88,-0.88,1.0,0.1,0.9,0.20505850389163874,0.933181192140938,-0.7281226882492993,0.3,0.1,0.19999999999999998,0.7,0.0,0.7
no_action_guard,guard_only,2,0.15,0.0,0.62,-0.62,1.0,0.24,0.76,0.1608666678510423,0.8468089572664755,-0.6859422894154332,0.5,0.24,0.26,0.5,0.0,0.5
no_action_guard,shield_only,0,0.0,0.08,1.0,-0.92,0.92,0.0,0.92,0.2947229047522634,0.991698503827454,-0.6969755990751905,0.0,0.0,0.0,0.92,0.0,0.92
no_action_guard,shield_only,0,0.08,0.0,0.96,-0.96,1.0,0.04,0.96,0.17724359203678927,0.974898512908048,-0.7976549208712587,0.32,0.02,0.3,0.68,0.02,0.66
no_action_guard,shield_only,0,0.15,0.0,0.56,-0.56,1.0,0.32,0.6799999999999999,0.17095727152637052,0.8329387441428554,-0.6619814726164849,0.46,0.32,0.14,0.54,0.0,0.54
no_action_guard,shield_only,1,0.0,0.0,0.98,-0.98,1.0,0.0,1.0,0.2394110277293434,0.9909441175631433,-0.7515330898337998,0.0,0.0,0.0,1.0,0.0,1.0
no_action_guard,shield_only,1,0.08,0.0,0.92,-0.92,1.0,0.08,0.92,0.22227943809607612,0.944374123457865,-0.7220946853617889,0.26,0.06,0.2,0.74,0.02,0.72
no_action_guard,shield_only,1,0.15,0.0,0.56,-0.56,1.0,0.22,0.78,0.18538258261432336,0.8670118010335814,-0.681629218419258,0.58,0.22,0.36,0.42,0.0,0.42
no_action_guard,shield_only,2,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.22735459421933155,0.9922415703041966,-0.764886976084865,0.0,0.0,0.0,1.0,0.0,1.0
no_action_guard,shield_only,2,0.08,0.0,0.86,-0.86,1.0,0.08,0.92,0.20505850389163874,0.9584637369230197,-0.753405233031381,0.3,0.06,0.24,0.7,0.02,0.6799999999999999
no_action_guard,shield_only,2,0.15,0.0,0.76,-0.76,1.0,0.14,0.86,0.1608666678510423,0.9132135143279725,-0.7523468464769302,0.5,0.14,0.36,0.5,0.0,0.5
