label,train_seed,density,episodes,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps
risk_only,2,0.08,40,0.0,0.0,0.008990143160300834,0.0,0.0,0.013349266843776159,1.0,1.0,0.0,0.0
risk_only,2,0.15,40,0.0,0.0,0.00898990176521271,0.0,0.0,0.013446948918651006,1.0,1.0,0.0,0.0
risk_only,2,0.2,40,0.0,0.0,0.008990187545307744,0.0,0.0,0.013607854366698499,1.0,1.0,0.0,0.0
risk_only,2,0.25,40,0.0,0.0,0.008993063714645826,0.0,0.0,0.013814876451303273,1.0,1.0,0.0,0.0
shield_only,0,0.08,40,0.85,0.05,0.9627518132788586,0.05,0.0,17.999959085942283,0.004761120263765825,0.0,0.11750438248061937,84.9013329293625
shield_only,0,0.15,40,0.525,0.325,0.8196399404289044,0.3,0.025,16.122485295922,0.017047871318589095,0.0,0.0868784180946093,71.58593895628783
shield_only,0,0.2,40,0.475,0.375,0.75347283645099,0.35,0.025,14.054196530280572,0.04425473671755152,0.0,0.08273272863456262,60.98392234565682
shield_only,0,0.25,40,0.175,0.55,0.6023145141825035,0.45,0.1,11.69492672679602,0.11310444588974918,0.1,0.08107670281373408,53.86028923040018
shield_only,1,0.08,40,0.875,0.025,0.9828575482064268,0.025,0.0,17.848923135565407,0.008438198630389863,0.0,0.13871213825843545,83.91359897263065
shield_only,1,0.15,40,0.65,0.15,0.8719949748722456,0.1,0.05,15.941512641866865,0.023805667369227554,0.025,0.12679523861406575,70.79220201112746
shield_only,1,0.2,40,0.475,0.35,0.7616929802301817,0.325,0.025,13.192075002792365,0.050293995129714206,0.0,0.09240164086667015,56.27629513424647
shield_only,1,0.25,40,0.3,0.425,0.6488611724943125,0.4,0.025,11.70892705262084,0.06371289454866699,0.025,0.09042053173006238,49.91683734563471
